generation,Individual,Fitness,Genome,steric_stiff,steric_range,surface_stiff,anchor_density,anchor_stiff,hydrolysis
gen0020,55,1.210778,00010011100101101010111001101100,343.75,0.05671875,20.90625,35.9375,303.125,0.26875
gen0020,56,1.679802,00000010100110100001111011000100,100.0,0.04921875,31.625,24.6875,359.375,0.20625000000000002
gen0020,57,0.533441,00000111110001100010110000101001,160.9375,0.058124999999999996,19.375,35.9375,50.0,0.2640625
gen0020,58,2.022656,00001011100011110010100011100000,221.875,0.056249999999999994,46.9375,33.125,134.375,0.25
gen0020,59,0.8677,00000011100110001011001011010101,100.0,0.05671875,27.03125,38.75,359.375,0.2328125
gen0020,60,0.593671,00000011100111100001100001100000,100.0,0.05671875,43.875,21.875,78.125,0.25
gen0020,61,2.778811,00000011100100011100101110010001,100.0,0.05671875,6.359375,10.625,443.75,0.2265625
gen0020,62,0.314864,00000011100011011101100101110000,100.0,0.056249999999999994,43.109375,21.875,190.625,0.275
gen0020,63,1.729535,00000111110011110001001011000101,160.9375,0.058124999999999996,46.9375,16.25,359.375,0.2078125
gen0020,64,4.658404,00000100000110011100101110010001,160.9375,0.03046875,30.859375,10.625,443.75,0.2265625
gen0020,65,1.700769,00000010100011011010100011101010,100.0,0.04875,42.34375,33.125,134.375,0.265625
gen0020,66,1.311026,00000011100101101010000000101100,100.0,0.05671875,20.90625,27.5,50.0,0.26875
gen0020,67,0.510707,00000011110101101101100101001001,100.0,0.05859375,21.671875,21.875,190.625,0.21406250000000002
gen0020,68,0.973249,00001011100101110001001101011000,221.875,0.05671875,22.4375,16.25,415.625,0.2375
gen0020,69,1.190824,00000011111110100110111111111000,100.0,0.059531249999999994,32.390625,35.9375,471.875,0.2875
gen0020,70,0.381064,00001011110101011001110001001000,221.875,0.05859375,17.84375,24.6875,78.125,0.21250000000000002
gen0020,71,1.300924,00010100110011101011110101110010,404.6875,0.035625,45.40625,47.1875,190.625,0.278125
gen0020,72,0.819846,00000011100111110001111010001100,100.0,0.05671875,46.9375,24.6875,331.25,0.21875
gen0020,73,1.063203,00000011111101011001101011110011,100.0,0.059531249999999994,17.84375,21.875,359.375,0.2796875
gen0020,74,1.236486,00011100110001110001101110010010,526.5625,0.035625,22.4375,21.875,443.75,0.228125
gen0020,75,1.297776,00000111110001111100101101010011,160.9375,0.058124999999999996,24.734375,10.625,415.625,0.2296875
gen0020,76,1.739432,00000111110011100001001101001001,160.9375,0.058124999999999996,43.875,16.25,415.625,0.21406250000000002
gen0020,77,2.071961,01000111100011100001000101001001,1135.9375,0.056249999999999994,43.875,16.25,190.625,0.21406250000000002
gen0020,78,2.205763,00001111100011011110101111010110,282.8125,0.056249999999999994,43.109375,33.125,471.875,0.234375
gen0020,79,1.107471,00000011100111101111111101101001,100.0,0.05671875,46.171875,47.1875,415.625,0.2640625
gen0020,80,0.302232,00000011100111001101001001111110,100.0,0.05671875,40.046875,16.25,303.125,0.296875
